regex,rat,redos,rescue,revealer,saferegex,k
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+))?.* AppleNews\/\d+\.\d+\.\d+?,0,1,0,0,0,1
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+))?.*Mobile,0,1,0,0,0,1
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+))?.*Mobile.*[ +]Safari,0,1,0,0,0,1
(philpodder)\/(\d+)\.(\d+)\.?([^.\s]+)?\.?([^.\s]+)?,0,1,0,0,0,1
(podracer|jPodder) v ?(\d+)\.(\d+)\.?(\d+)?,0,1,0,0,0,1
(rekonq)\/(\d+)\.(\d+)\.?(\d+)? Safari,0,1,0,0,0,1
(x86_64|aarch64)\ (\d+)+\.(\d+)+\.(\d+)+.*Chrome.*(?:CitrixChromeApp)$,1,1,1,1,0,4
(|\|)(?:[^\n]|\\\\.|\$\{<expr>\})*?\1,0,1,0,0,0,1
.*``.*``.*,0,1,0,0,1,2
/\[[^\]]*?\]\([^\)]*?\)|`[^`]*?`|<[^>]*?>,0,0,0,0,1,1
/\s*$/,0,0,0,0,1,1
/^(.+\.)*localhost$/.test(url.host),0,0,0,0,1,1
"/^([`~]+|[^`~])(?: {2,}\n)|[\s\S]*?(?:(?=[\\\\<!\[`~]|\b_|https?://|ftp?://|www\.|$)|[^ ](?= {2,}\n))/",0,0,1,1,0,2
/^(\-|\+)?([1-9]+[0-9]*)$/,0,0,0,0,1,1
/^\*+(?:(?!overlapSkip)(?:[^*]|\\\\\\\\*)|overlapSkip)\*+(?![\s])|__(?:(?!overlapSkip)(?:[^_]|\\\\_|overlapSkip)*?_)+?__/,0,0,1,0,0,1
/^\s*/,0,0,0,0,1,1
/^\s+/,0,0,0,0,1,1
9.80.*Version,0,1,0,0,1,2
; *((?:SCH|SGH|SHV|SHW|SPH|SC|SM)\-[A-Za-z0-9 ]+)(\/?[^ ]*)? Build,0,1,0,0,0,1
; *((Mi|MI|HM|MI-ONE|Redmi)[ -](NOTE |Note )?[^;/]*) (Build|MIUI)/,0,0,0,0,1,1
; *(?:(?:HTC|htc)(?:_blocked)*[ _\/])+([^ _\/]+)(?:[ _\/]([^ _\/]+)(?:[ _\/]([^ _\/]+)(?:[ _\/]([^ \/;]+))?)?)?(?: *Build|[;\)]| - ),0,1,0,0,0,1
; *(?:Intex[ _])?(AQUA|Aqua)([ _\.\-])([^;\/]+) *(?:Build|;),0,1,0,0,0,1
; *(?:LAVA[ _])?IRIS[ _\-]?([^\/;\)]+) *(?:;|\)|Build),0,1,0,0,0,1
"; *(?:Polaroid[ _])?((?:MIDC\d{3,}|PMID\d{2,}|PTAB\d{3,})[^;\/]*)(\/[^;\/]*)? Build\/",0,1,0,0,0,1
; *(A2|A5|A8|A900)_?(Classic)? Build,0,0,0,0,1,1
; *(ALLVIEW[ _]?|Allview[ _]?)?(AX1_Shine|AX2_Frenzy) Build,0,0,0,0,1,1
; *(A\d+)[ _](Duo)? Build,0,0,0,0,1,1
; *(Advent )?(Vega(?:Bean|Comb)?).* Build,0,1,0,0,0,1
; *(MODECOM )?(FreeTab) ?([^;/]+) Build,0,0,0,0,1,1
; *(NOOK )?(BNRV200|BNRV200A|BNTV250|BNTV250A|BNTV400|BNTV600|LogicPD Zoom2) Build,0,0,0,0,1,1
; *(NT-\d+[^ ;\/]*|Net[Tt]AB [^;\/]+|Mercury [A-Z]+|iconBIT)(?: S\/N:[^;\/]+)? Build,0,1,0,0,0,1
; *(SAMSUNG |Samsung )?((?:Galaxy (?:Note II|S\d)|GT-I9082|GT-I9205|GT-N7\d{3}|SM-N9005)[^;\/]*)\/?[^;\/]* Build\/,0,1,0,0,0,1
; *(SAMSUNG-)?(GT\-[BINPS]\d{4}[^/]*)(/[^ ]*) Build,0,0,0,0,1,1
; *(SAMSUNG-)?(GT\-[BINPS]\d{4}[^\/]*)(\/[^ ]*) Build,0,1,0,0,0,1
; *(SAMSUNG[ _\-] *)+([^;\/]+) Build,0,1,0,0,0,1
; *(SKY[ _])?(IM\-[AT]\d{3}[^;/]+).* Build/,0,0,0,0,1,1
; *(SKY[ _])?(IM\-[AT]\d{3}[^;\/]+).* Build\/,0,1,0,0,0,1
; *([iI]Buddy)[ _]?(Connect)(?:_|\?_| )?([^;\/]*) *(?:Build|;),0,1,0,0,0,1
<!--[\s\S]*?-->,0,1,0,0,1,2
<style>(.|\s)*?</style>,1,0,1,1,1,4
<style>(.|\s)*?<\/style>,0,1,0,0,0,1
Android Application[^\-]+ - (Sony) ?(Ericsson)? (.+) \w+ -,0,1,0,0,0,1
Android [34].*; *(A100|A101|A110|A200|A210|A211|A500|A501|A510|A511|A700(?: Lite| 3G)?|A701|B1-A71|A1-\d{3}|B1-\d{3}|V360|V370|W500|W500P|W501|W501P|W510|W511|W700|Slider SL101|DA22[^;\/]+) Build,0,1,0,0,0,1
"Android[\- ][\d]+(?:\.[\d]+){1,2}(?:;.*)?; *(.+?) Build[\/ ]",0,1,0,0,0,1
"Android[\- ][\d]+(?:\.[\d]+){1,2}; *[A-Za-z]{0,2}\- *; *(.+?) Build[\/ ]",0,1,0,0,0,1
"Android[\- ][\d]+(?:\.[\d]+){1,2}; *[A-Za-z]{2}[_\-][A-Za-z]{0,2}\-? *; *(.+?) Build[\/ ]",0,1,0,0,0,1
"Android[\- ][\d]+(?:\.[\d]+){1,2}; *\-?[A-Za-z]{2}; *(.+?) Build[\/ ]",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?)?(?:ALCATEL)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?)?(?:DELL|Dell)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?)?(?:HUAWEI)[^;]*; *(?:HUAWEI )?([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?)?(?:LG|Lg)[^;]*; *(?:LG[ \-])?([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?)?(?:Microsoft(?: Corporation)?)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?)?(?:NOKIA|Nokia)[^;]*; *(RM-\d{3,})",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?)?(?:rv:11; )?(?:NOKIA|Nokia)[^;]*; *(?:NOKIA ?|Nokia ?|LUMIA ?|[Ll]umia ?)*(\d{3,}[^;\)]*)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?)?(?:ASUS|Asus)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?)?(?:HTC|Htc|HTC_blocked[^;]*)[^;]*; *(?:HTC)?([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?)?(?:SAMSUNG)[^;]*; *(?:SAMSUNG )?([^;,\.\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?)?(?:TOSHIBA|FujitsuToshibaMobileCommun)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?)?([^;]+); *([^;,\)]+)",0,1,0,0,0,1
[+-]?(\d+)*\.\d+%?,1,1,1,1,0,4
\$?\(\([\s\S]+?\)\),0,1,0,0,0,1
"\$F:[-\w.]+\?[-\w.]+(?:,(?:\|?(?:[-#.^+*~]*(?:[\w+][^$]*)|=(?:[\S+][^$]*)|@[-#]*(?:\w+.)[\w+.]+)?)*?\$)",0,0,1,1,0,2
\$\{[^}]+\},0,1,0,0,1,2
\((?!.*\()(.*)\)$,0,1,0,0,0,1
\(Mobile; ALCATEL ?(One|ONE) ?(Touch|TOUCH) ?([^;\/]+)(?:\/[^;]+)?; rv:[^\)]+\) Gecko\/[^\/]+ Firefox\/,0,1,0,0,0,1
\(iPad;.+(Version)\/(\d+)\.(\d+)(?:\.(\d+))?.*Safari\/,0,1,0,0,0,1
\/\[[^\]]*?\]\([^\)]*?\)|`[^`]*?`|<[^>]*?>,0,1,0,0,0,1
\[FB.*;(FBAV)\/(\d+)(?:\.(\d+)(?:\.(\d+))?)?,0,1,0,0,0,1
\\\\[[^\\\\]]*?\\\\]\([^\)]*?\)|`[^`]*?`|<[^>]*?>,0,1,0,0,1,2
\^\[[^\]]*]|\^(.),0,0,0,0,1,1
\b(?:HTC\/|HTC\/[a-z0-9]+\/)?HTC[ _\-;]? *(.*?)(?:-?Mozilla|fingerPrint|[;\/\(\)]|$),0,1,0,0,0,1
\b(Dolphin)(?: |HDCN\/|\/INT\-)(\d+)\.(\d+)\.?(\d+)?,0,1,0,0,0,1
\b(T-Mobile ?)?(myTouch)[ _]?([34]G)[ _]?([^\/]*) (?:Mozilla|Build),0,1,0,0,0,1
\b0b[01]+\b|\b0x[\da-f]+\b|(?:\b\d+(?:_\d+)*\.?(?:\d+(?:_\d+)*)*|\B\.\d+)(?:e[+-]?\d+)?,0,1,0,0,0,1
\s*$,0,1,0,0,0,1
\s+,0,0,0,0,1,1
\s+(?:.|\n)*?\s+,0,1,0,0,0,1
\{([\s\S]+?)},0,1,0,0,0,1
\{.*\},0,1,0,0,1,2
]+ Firefox,0,1,0,0,1,2
^#!\s*/.*,0,0,0,0,1,1
^(.*)-iPad/(\d+)\.?(\d+)?.?(\d+)?.?(\d+)? CFNetwork,0,0,1,1,1,3
^(.*)-iPad\/(\d+)\.?(\d+)?.?(\d+)?.?(\d+)? CFNetwork,0,1,0,0,0,1
^(.*)-iPhone/(\d+)\.?(\d+)?.?(\d+)?.?(\d+)? CFNetwork,0,0,1,1,1,3
^(.*)-iPhone\/(\d+)\.?(\d+)?.?(\d+)?.?(\d+)? CFNetwork,0,1,0,0,0,1
^(.*)/(\d+)\.?(\d+)?.?(\d+)?.?(\d+)? CFNetwork,0,0,1,1,1,3
^(.*)\/(\d+)\.?(\d+)?.?(\d+)?.?(\d+)? CFNetwork,0,1,0,0,0,1
"^(0|[1-9]\d*)(\.(0|[1-9]\d*)){0,2}$",0,0,0,0,1,1
"^(?:(?:https?|ftp)://)(?:\S+(?::\S*)?@)?(?:(?!(?:10|127)(?:\.\d{1,3}){3})(?!(?:169\.254|192\.168)(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[a-z\u00a1-\uffff0-9]-*)*[a-z\u00a1-\uffff0-9]+)(?:\.(?:[a-z\u00a1-\uffff0-9]-*)*[a-z\u00a1-\uffff0-9]+)*(?:\.(?:[a-z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:[/?#]\S*)?$",0,0,1,1,0,2
"^(?:(?:https?|ftp):\/\/)(?:\S+(?::\S*)?@)?(?:(?!(?:10|127)(?:\.\d{1,3}){3})(?!(?:169\.254|192\.168)(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[a-z\u00a1-\uffff0-9]-*)*[a-z\u00a1-\uffff0-9]+)(?:\.(?:[a-z\u00a1-\uffff0-9]-*)*[a-z\u00a1-\uffff0-9]+)*(?:\.(?:[a-z\u00a1-\uffff]{2,})))(?::\d{2,5})?(?:[\/?#]\S*)?$",0,1,0,0,0,1
^(AntennaPod|WMPlayer|Zune|Podkicker|Radio|ExoPlayerDemo|Overcast|PocketTunes|NSPlayer|okhttp|DoggCatcher|QuickNews|QuickTime|Peapod|Podcasts|GoldenPod|VLC|Spotify|Miro|MediaGo|Juice|iPodder|gPodder|Banshee)\/(\d+)\.(\d+)\.?(\d+)?\.?(\d+)?,0,1,0,0,0,1
^(Clementine)\S+ ([^.\s]+)\.([^.\s]+)?\.?([^.\s]+)?,0,1,0,0,1,2
^(HTC) Streaming Player \S+ \/ \S+ \/ \S+ \/ (\d+)\.(\d+)\.?(\d+)?,0,1,0,0,0,1
^(Peapod|Liferea)/([^.\s]+)\.([^.\s]+)?\.?([^.\s]+)?,0,0,0,0,1,1
^(Peapod|Liferea)\/([^.\s]+)\.([^.\s]+)?\.?([^.\s]+)?,0,1,0,0,0,1
^(RSSRadio)[ /]?(\d+)?,0,0,0,0,1,1
^([+-]?\d*n)?\s*(?:([+-]?)\s*(\d+))?$,0,1,0,0,0,1
^([^-]+)-([A-Za-z0-9+\/]+(?:=?=?))([?\x21-\x7E]*)$,0,1,0,0,0,1
^(\-|\+)?([1-9]+[0-9]*)$,0,1,0,0,0,1
^(foobar)\S+/([^.\s]+)\.([^.\s]+)?\.?([^.\s]+)?,0,0,0,0,1,1
^(foobar)\S+\/([^.\s]+)\.([^.\s]+)?\.?([^.\s]+)?,0,1,0,0,0,1
^0x[0-9a-f]+$,0,0,0,0,1,1
^\s+|\s+$,0,1,0,0,1,2
^application/(.+\+)?json(;.*)?$,0,0,0,0,1,1
^application\/(.+\+)?json(;.*)?$,0,1,0,0,0,1
^cover\s+(\d*\.?\d+)%$,0,1,0,0,0,1
^cover\s+(\d*\.?\d+)%\s*(in\s+(my\sstats|(alt-)?\w\w))?$,0,1,0,0,0,1
^cover\s+(\d*\.?\d+)%\s+in\s+(my\sstats|(alt-)?\w\w)$,0,1,0,0,0,1
^node\s+(\d+(\.\d+)?(\.\d+)?)$,0,0,0,0,1,1
__[^_]*?__|\*\*[^\*]*?\*\*,0,0,0,0,1,1
"rgba?\((\d+),(\d+),(\d+)(,(\d+)?\.?(\d+))?\)",0,1,0,0,0,1
style=(.+?),0,0,0,0,1,1
url\s*\(\s*[^)\s]+?\),0,1,0,0,1,2
webOS.*(P160U(?:NA)?)\/(\d+).(\d+),0,1,0,0,0,1
